Verb,Pronunciation,SinhalaMeanings,Usage
indicate,/ˈɪndɪkeɪt/,"පෙන්නුම් කරනවා,
අඟවනවා","~ (something) (to someone)
~ that...
~ wh-"
influence,/ˈɪnfluəns/,බලපානවා,"~ someone/something
~ wh-"
inform,/ɪnˈfɔːm/,දැනුම් දෙනවා,"~ someone (of something)
~ (someone) that"
initiate,/ɪˈnɪʃieɪt/,"ආරම්භ කරනවා,
ඇතුළත් කරගන්නවා","~ something
~ someone (into something)"
inject,/ɪnˈdʒekt/,"එන්නත් කරනවා,
ඇතුළට විදිනවා","~ something (into someone/something)
~ A (with B)
~ B (into A)"
injure,/ˈɪndʒə(r)/,"ආබාධ කරනවා,
ආබාධ කරගන්නවා,
හානි කරනවා,
හානි කරගන්නවා",~ someone/something
input**,/ˈɪnpʊt/,ආදානය කරනවා,~ something
insert,/ɪnˈsɜːt/,ඇතුල් කරනවා,~ something (into/between something)
insist,/ɪnˈsɪst/,බල කරනවා,"~ (on someone/something doing something)
~ (that)"
inspire,/ɪnˈspaɪə(r)/,නිර්මාණාත්මක කාර්යයකට ප්‍රබෝධ කරනවා,"~ someone ( with something)
~ someone (in something)
~ someone (to do something)"
install,/ɪnˈstɔːl/,පාවිච්චිය සඳහා සවිකරනවා,~ something
instruct,/ɪnˈstrʌkt/,උපදෙස් දෙනවා,"~ someone (in something)
~ someone to do something
~ that..."
insult,/ɪnˈsʌlt/,අපහාස කරනවා,~ someone/something
intend,/ɪnˈtend/,"අදහස් කරනවා,
අපේක්‍ෂා කරනවා","~ (someone/something) (to do something)
~ doing something
~ that..."
interact,/ˌɪntərˈækt/,අන්තර් සමබන්ධතා පවත්වනවා,~ (with someone/something)
interdict,/ˈɪntədɪkt/,(සේවය) තහනම් කරනවා,~ someone/something
interfere,/ˌɪntəˈfɪə(r)/,"බාධා කරනවා,
අනුන්ගේ කටයුතුවලට අතපොවනවා","~ (in something)
~ (with someone/something)"
interlock,/ˌɪntəˈlɒk/,එකිනෙකට පූට්ටු වෙනවා,~ (something) (with something)
interpret,/ɪnˈtɜːprɪt/,"අර්ථ නිරූපණය කරනවා,
කතාවක් බසකින් බසකට හරවනවා","~ something (as something)
~ for someone"
interrupt,/ˌɪntəˈrʌpt/,"බාධා කරනවා,
අඛණ්ඩතාවය බිඳිනවා",~ someone/something (with something)
intersect,/ˌɪntəˈsekt/,ඡේදනය වෙනවා/කරනවා,~ (something) (with something)
intervene,/ˌɪntəˈviːn/,මැදිහත් වෙනවා,~ in something
interview,/ˈɪntəvjuː/,සම්මුඛ සාකච්චාවකට ලක්කරනවා,~ (someone) (for/about something)
intrigue,/ɪnˈtriːɡ/,"කුතුහලය අවුස්සනවා,
කුමන්ත්‍රණය කරනවා","~ someone (that …)
~ (with someone) (against someone)"
introduce,/ˌɪntrəˈdjuːs/,"හඳුන්වා දෙනවා,
ඉදිරිපත් කරනවා","~ someone/something (to someone)
~ someone/something (as someone/something)"
invade,/ɪnˈveɪd/,ආක්‍රමණය කරනවා,~ something
invent,/ɪnˈvent/,(අලුත් යමක්) නිර්මාණය කරනවා,~ something
invest,/ɪnˈvest/,ආයෝජනය කරනවා,~ something (in/on something)
investigate,/ɪnˈvestɪɡeɪt/,"විමර්ශනය කරනවා,
ප්‍රවේශමෙන් සෝදිසි කර බලනවා","~ something
~ (someone) for something
~ wh-"
invite,/ɪnˈvaɪt/,"ආරාධනා කරනවා,
සුහදව කැඳවනවා","~ someone (to/for something)
~ someone (to do something)"
involve,/ɪnˈvɒlv/,සම්බන්ධ කරගන්නවා/වෙනවා,"~ someone/something (in something)
~ someone/something (in doing something)
~ something
~ someone/something soing something"
iron,/ˈaɪən/,"ඉස්තිරික්ක කරනවා,
(රෙදි) මදිනවා",~ (something)
irritate,/ˈɪrɪteɪt/,"කෝප කරනවා,
අපහසුතාවයට/වේදනාවට පත් කරනවා",~ someone/something
isolate,/ˈaɪsəleɪt/,"තනි කරනවා,
වෙන් කරනවා,
හුදකලා කරනවා,
කොන් කරනවා",~ someone/something (from someone/something)
issue,/ˈɪʃuː/,නිකුත් කරනවා,"~ something (to someone)
~ someone (with something)"
