Verb,Pronunciation,SinhalaMeanings,Usage
donate,/dəʊˈneɪt/,පරිත්‍යාග කරනවා,~ something (to someone/something)
dote,/dəʊt/,වැරදි දැක දැකත් ආදරය කරනවා,~ on someone/something
double,/ˈdʌbl/,දෙගුණ කරනවා,~ something
doubt,/daʊt/,වියහැකියාව සැක කරනවා,~ someone/something
down,/daʊn/,පහත හෙළනවා,~ someone/something
download,/ˌdaʊnˈləʊd/,එක් පරිගණකයකින් තවත් පරිගණකයකට (අන්තර්ජාලය හරහා) දත්ත ලබා ගනන්වා,~ something
drag,/dræɡ/,බලෙන් ඇදගෙන යනවා,~ someone/something
drain,/dreɪn/,දිය බහින්න සලස්වනවා,~ (something)
drape,/dreɪp/,ලිහිල්ව ඔතනවා,"~ someone/something in something
~ something around someone/something"
draw*,/drɔː/,"අඳිනවා,
අදිනවා,
ජය පරාජයෙන් තොරව අවසන් කරනවා","~ something
~ someone/something"
dream**,/driːm/,"හීන දකිනවා,
හීන බලනවා","~ of/about someone/something
~ something
~ that..."
dress,/dres/,"ඇඳුම් අඳිනවා,
ඇඳුම් අන්දනවා",~ (someone) (in something)
drink*,/drɪŋk/,බොනවා,~ (something)
drip,/drɪp/,(දියරයක්) බින්දුව බින්දුව වෑස්සෙනවා,~ (something)
drive*,/draɪv/,(වාහනයක්) පදවනවා,"~ (something),
someone (adv./prep.)"
drizzle,/ˈdrɪzl/,පොද වැස්සක් වටෙනවා,
drop,/drɒp/,යම් දෙයක් වැටෙනවා/වට්ටනවා,~ (something)
drown,/draʊn/,"දියේ ගිලෙනවා,
දියේ ගිල්වනවා,
යටපත් කරනවා",~ (someone) (in something)
dry,/draɪ/,"වේලෙනවා,
වේලනවා",~ (someone/something)
dub,/dʌb/,හඬ කවනවා,~ something (into something)
duck,/dʌk/,යමක් හිසේ වැදීමෙන් බේරෙන්නට ඔළුව පහත කරනවා,~ (something)
dump,/dʌmp/,ඔහේ අත්හැර දමනවා,~ something/someone (on someone)
duplicate,/ˈdjuːplɪkeɪt/,එක සමාන පිටපත් හදනවා,~ something
dust,/dʌst/,දූවිලි පිහිනවා,~ (something) (with something)
dye,/daɪ/,සායම් පොවනවා,~ something (+ adj.)
